"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
8496,46.328629,-96.061256,1104,"Hirundo","rustica","barn swallow","Animalia",25894,292,"Live individuals",2013,5,6,126,2456419,2,"25894_Live individuals","Adults observed","MN",14,2013-05-06,"calendar",126,2013,FALSE,0,"25894_Live individuals_2013"
8496,46.328629,-96.061256,1117,"Sayornis","phoebe","eastern phoebe","Animalia",25896,292,"Live individuals",2013,4,27,117,2456410,1,"25896_Live individuals","Adults observed","MN",9,2013-04-27,"calendar",117,2013,FALSE,0,"25896_Live individuals_2013"
8496,46.328629,-96.061256,355,"Troglodytes","aedon","house wren","Animalia",25897,292,"Live individuals",2013,5,20,140,2456433,3,"25897_Live individuals","Adults observed","MN",14,2013-05-20,"calendar",140,2013,FALSE,0,"25897_Live individuals_2013"
8496,46.328629,-96.061256,1124,"Tachycineta","bicolor","tree swallow","Animalia",25899,292,"Live individuals",2013,4,27,117,2456410,1,"25899_Live individuals","Adults observed","MN",14,2013-04-27,"calendar",117,2013,FALSE,0,"25899_Live individuals_2013"
8715,43.522804,-70.802277,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28193,292,"Live individuals",2013,6,5,156,2456449,7,"28193_Live individuals","Adults observed","ME",14,2013-06-05,"calendar",156,2013,FALSE,0,"28193_Live individuals_2013"
8736,44.903229,-93.217445,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28356,292,"Live individuals",2013,8,15,227,2456520,3,"28356_Live individuals","Adults observed","MN",10,2013-08-15,"calendar",227,2013,FALSE,0,"28356_Live individuals_2013"
8242,31.596231,-110.575493,1104,"Hirundo","rustica","barn swallow","Animalia",29638,292,"Live individuals",2013,5,5,125,2456418,28,"29638_Live individuals","Adults observed","AZ",10,2013-05-05,"calendar",125,2013,FALSE,0,"29638_Live individuals_2013"
8418,32.363758,-94.873947,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",30980,292,"Live individuals",2013,4,17,107,2456400,3,"30980_Live individuals","Adults observed","TX",12,2013-04-17,"calendar",107,2013,FALSE,0,"30980_Live individuals_2013"
8496,46.328629,-96.061256,375,"Zenaida","macroura","mourning dove","Animalia",32296,292,"Live individuals",2013,4,2,92,2456385,3,"32296_Live individuals","Adults observed","MN",14,2013-04-02,"calendar",92,2013,FALSE,0,"32296_Live individuals_2013"
9344,35.640373,-83.692863,377,"Vireo","olivaceus","red-eyed vireo","Animalia",32889,293,"Calls or song (birds)",2013,4,26,116,2456409,NA,"32889_Calls or song (birds)","Adults observed","TN",10,2013-04-26,"calendar",116,2013,FALSE,0,"32889_Calls or song (birds)_2013"
10145,42.602543,-83.250992,1193,"Setophaga","ruticilla","American redstart","Animalia",38839,293,"Calls or song (birds)",2013,5,2,122,2456415,NA,"38839_Calls or song (birds)","Adults observed","MI",10,2013-05-02,"calendar",122,2013,FALSE,0,"38839_Calls or song (birds)_2013"
10145,42.602543,-83.250992,1104,"Hirundo","rustica","barn swallow","Animalia",38845,292,"Live individuals",2013,5,25,145,2456438,NA,"38845_Live individuals","Adults observed","MI",13,2013-05-25,"calendar",145,2013,FALSE,0,"38845_Live individuals_2013"
10145,42.602543,-83.250992,1098,"Setophaga","virens","black-throated green warbler","Animalia",38850,293,"Calls or song (birds)",2013,5,14,134,2456427,NA,"38850_Calls or song (birds)","Adults observed","MI",9,2013-05-14,"calendar",134,2013,FALSE,0,"38850_Calls or song (birds)_2013"
10145,42.602543,-83.250992,1085,"Buteo","platypterus","broad-winged hawk","Animalia",38856,292,"Live individuals",2013,7,24,205,2456498,NA,"38856_Live individuals","Adults observed","MI",9,2013-07-24,"calendar",205,2013,FALSE,0,"38856_Live individuals_2013"
10145,42.602543,-83.250992,363,"Molothrus","ater","brown-headed cowbird","Animalia",38857,292,"Live individuals",2013,4,16,106,2456399,6,"38857_Live individuals","Adults observed","MI",13,2013-04-16,"calendar",106,2013,FALSE,0,"38857_Live individuals_2013"
10145,42.602543,-83.250992,1093,"Chaetura","pelagica","chimney swift","Animalia",38864,292,"Live individuals",2013,5,2,122,2456415,NA,"38864_Live individuals","Adults observed","MI",13,2013-05-02,"calendar",122,2013,FALSE,0,"38864_Live individuals_2013"
10145,42.602543,-83.250992,355,"Troglodytes","aedon","house wren","Animalia",38908,292,"Live individuals",2013,4,26,116,2456409,NA,"38908_Live individuals","Adults observed","MI",13,2013-04-26,"calendar",116,2013,FALSE,0,"38908_Live individuals_2013"
10145,42.602543,-83.250992,359,"Agelaius","phoeniceus","red-winged blackbird","Animalia",38946,292,"Live individuals",2013,3,31,90,2456383,NA,"38946_Live individuals","Adults observed","MI",13,2013-03-31,"calendar",90,2013,FALSE,0,"38946_Live individuals_2013"
10145,42.602543,-83.250992,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",38951,292,"Live individuals",2013,7,18,199,2456492,NA,"38951_Live individuals","Adults observed","MI",11,2013-07-18,"calendar",199,2013,FALSE,0,"38951_Live individuals_2013"
9652,44.768246,-94.155746,246,"Turdus","migratorius","American robin","Animalia",40107,292,"Live individuals",2013,3,29,88,2456381,NA,"40107_Live individuals","Adults observed","MN",13,2013-03-29,"calendar",88,2013,FALSE,0,"40107_Live individuals_2013"
9652,44.768246,-94.155746,1095,"Chordeiles","minor","common nighthawk","Animalia",40112,292,"Live individuals",2013,5,14,134,2456427,46,"40112_Live individuals","Adults observed","MN",13,2013-05-14,"calendar",134,2013,FALSE,0,"40112_Live individuals_2013"
10717,38.285664,-111.246605,246,"Turdus","migratorius","American robin","Animalia",42593,292,"Live individuals",2013,4,28,118,2456411,NA,"42593_Live individuals","Adults observed","UT",11,2013-04-28,"calendar",118,2013,FALSE,0,"42593_Live individuals_2013"
1419,42.011166,-88.503304,1117,"Sayornis","phoebe","eastern phoebe","Animalia",44642,292,"Live individuals",2013,5,5,125,2456418,NA,"44642_Live individuals","Adults observed","IL",11,2013-05-05,"calendar",125,2013,FALSE,0,"44642_Live individuals_2013"
11598,43.073357,-71.150681,243,"Gavia","immer","common loon","Animalia",48357,292,"Live individuals",2013,7,31,212,2456505,NA,"48357_Live individuals","Adults observed","NH",13,2013-07-31,"calendar",212,2013,FALSE,0,"48357_Live individuals_2013"
6102,32.23188,-110.951012,353,"Archilochus","alexandri","black-chinned hummingbird","Animalia",49640,292,"Live individuals",2013,10,14,287,2456580,4,"49640_Live individuals","Adults observed","AZ",9,2013-10-14,"calendar",287,2013,FALSE,0,"49640_Live individuals_2013"
9341,35.639874,-83.687721,1098,"Setophaga","virens","black-throated green warbler","Animalia",75375,293,"Calls or song (birds)",2013,4,13,103,2456396,NA,"75375_Calls or song (birds)","Adults observed","TN",13,2013-04-13,"calendar",103,2013,FALSE,0,"75375_Calls or song (birds)_2013"
