"site_id","latitude","longitude","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","first_yes_year","first_yes_month","first_yes_day","first_yes_doy","first_yes_julian_date","numdays_since_prior_no","ind_phen","phenophase","state","series_yrs","first_yes_date","yeartype","dop","year","resident","present_jan1","ind_phen_year"
8496,46.328629,-96.061256,1104,"Hirundo","rustica","barn swallow","Animalia",25894,292,"Live individuals",2015,4,29,119,2457142,1,"25894_Live individuals","Adults observed","MN",10,2015-04-29,"calendar",119,2015,FALSE,0,"25894_Live individuals_2015"
8496,46.328629,-96.061256,355,"Troglodytes","aedon","house wren","Animalia",25897,292,"Live individuals",2015,4,28,118,2457141,6,"25897_Live individuals","Adults observed","MN",11,2015-04-28,"calendar",118,2015,FALSE,0,"25897_Live individuals_2015"
8715,43.522804,-70.802277,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28193,292,"Live individuals",2015,5,13,133,2457156,7,"28193_Live individuals","Adults observed","ME",13,2015-05-13,"calendar",133,2015,FALSE,0,"28193_Live individuals_2015"
8736,44.903229,-93.217445,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",28356,292,"Live individuals",2015,8,4,216,2457239,1,"28356_Live individuals","Adults observed","MN",10,2015-08-04,"calendar",216,2015,FALSE,0,"28356_Live individuals_2015"
8418,32.363758,-94.873947,352,"Archilochus","colubris","ruby-throated hummingbird","Animalia",30980,292,"Live individuals",2015,3,25,84,2457107,3,"30980_Live individuals","Adults observed","TX",11,2015-03-25,"calendar",84,2015,FALSE,0,"30980_Live individuals_2015"
8496,46.328629,-96.061256,375,"Zenaida","macroura","mourning dove","Animalia",32296,292,"Live individuals",2015,1,5,5,2457028,3,"32296_Live individuals","Adults observed","MN",11,2015-01-05,"calendar",5,2015,FALSE,0,"32296_Live individuals_2015"
10145,42.602543,-83.250992,1193,"Setophaga","ruticilla","American redstart","Animalia",38839,293,"Calls or song (birds)",2015,5,1,121,2457144,1,"38839_Calls or song (birds)","Adults observed","MI",9,2015-05-01,"calendar",121,2015,FALSE,0,"38839_Calls or song (birds)_2015"
10145,42.602543,-83.250992,1104,"Hirundo","rustica","barn swallow","Animalia",38845,292,"Live individuals",2015,6,8,159,2457182,1,"38845_Live individuals","Adults observed","MI",13,2015-06-08,"calendar",159,2015,FALSE,0,"38845_Live individuals_2015"
10145,42.602543,-83.250992,363,"Molothrus","ater","brown-headed cowbird","Animalia",38857,292,"Live individuals",2015,4,12,102,2457125,1,"38857_Live individuals","Adults observed","MI",13,2015-04-12,"calendar",102,2015,FALSE,0,"38857_Live individuals_2015"
10145,42.602543,-83.250992,1093,"Chaetura","pelagica","chimney swift","Animalia",38864,292,"Live individuals",2015,6,18,169,2457192,1,"38864_Live individuals","Adults observed","MI",13,2015-06-18,"calendar",169,2015,FALSE,0,"38864_Live individuals_2015"
10145,42.602543,-83.250992,355,"Troglodytes","aedon","house wren","Animalia",38908,292,"Live individuals",2015,7,3,184,2457207,1,"38908_Live individuals","Adults observed","MI",13,2015-07-03,"calendar",184,2015,FALSE,0,"38908_Live individuals_2015"
10145,42.602543,-83.250992,359,"Agelaius","phoeniceus","red-winged blackbird","Animalia",38946,292,"Live individuals",2015,3,18,77,2457100,1,"38946_Live individuals","Adults observed","MI",13,2015-03-18,"calendar",77,2015,FALSE,0,"38946_Live individuals_2015"
