"group","common_name","phenophase_description","site_id","latitude","longitude","n","resident","jan1","present_jan1"
"Bird","red-winged blackbird","Individuals at a feeding station",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","red-winged blackbird","Live individuals",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","red-winged blackbird","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Calls or song (birds)",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Fruit/seed consumption",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Individuals at a feeding station",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Insect consumption",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Live individuals",8418,32.363758,-94.873947,9,FALSE,"nb",1
"Bird","ruby-crowned kinglet","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","ruby-throated hummingbird","Individuals at a feeding station",17414,42.936153,-73.433449,9,FALSE,"nb",0
"Bird","ruby-throated hummingbird","Live individuals",17414,42.936153,-73.433449,9,FALSE,"nb",0
"Bird","rufous hummingbird","Flower visitation",5428,48.033489,-122.598724,9,FALSE,"nb",0
"Bird","sandhill crane","Calls or song (birds)",1447,42.176537,-85.892448,9,FALSE,"nb",1
"Bird","sandhill crane","Live individuals",10145,42.602543,-83.250992,9,FALSE,"nb",0
"Bird","song sparrow","Calls or song (birds)",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","song sparrow","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","song sparrow","Singing individuals (birds)",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","spotted sandpiper","Calls or song (birds)",19944,33.66478,-117.843063,9,FALSE,"nb",1
"Bird","spotted towhee","Live individuals",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","tree swallow","Calls or song (birds)",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","tree swallow","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","tree swallow","Nest building (birds)",8496,46.328629,-96.061256,9,FALSE,"nb",0
"Bird","tree swallow","Nest building (birds)",17414,42.936153,-73.433449,9,FALSE,"nb",0
"Bird","verdin","Calls or song (birds)",6102,32.23188,-110.951012,9,TRUE,NA,1
"Bird","western bluebird","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","western bluebird","Insect consumption",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","western bluebird","Live individuals",22858,38.09404,-122.37149,9,FALSE,"nb",1
"Bird","western bluebird","Singing individuals (birds)",2803,39.971001,-105.397003,9,FALSE,"nb",0
"Bird","white-winged dove","Individuals at a feeding station",18529,33.630066,-112.147385,9,FALSE,"nb",1
"Bird","white-winged dove","Live individuals",18529,33.630066,-112.147385,9,FALSE,"nb",1
"Bird","wrentit","Live individuals",20956,33.632149,-117.55545,9,TRUE,NA,1
"Bird","yellow-rumped warbler","Calls or song (birds)",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","yellow-rumped warbler","Insect consumption",22740,38.525036,-121.970711,9,FALSE,"nb",1
"Bird","American goldfinch","Calls or song (birds)",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","American goldfinch","Fruit/seed consumption",1447,42.176537,-85.892448,10,FALSE,"nb",1
"Bird","American goldfinch","Fruit/seed consumption",8418,32.363758,-94.873947,10,FALSE,"nb",1
"Bird","American goldfinch","Individuals at a feeding station",1447,42.176537,-85.892448,10,FALSE,"nb",1
"Bird","American goldfinch","Individuals at a feeding station",8418,32.363758,-94.873947,10,FALSE,"nb",1
